//
// Structure of Database:
// GroupID,ItemID,Rate
//

IG_SHADOW_CUBE_WEAPON,24019,1	//Physical Weapon (Shadow)
IG_SHADOW_CUBE_SHIELD,24054,1	//Brutal Shield (Shadow)
IG_SHADOW_CUBE_SHIELD,24055,1	//Gargantua Shield (Shadow)
IG_SHADOW_CUBE_SHIELD,24056,1	//Homers Shield (Shadow)
IG_SHADOW_CUBE_SHIELD,24057,1	//Dragoon Shield (Shadow)
IG_SHADOW_CUBE_SHIELD,24058,1	//Satanic Shield (Shadow)
IG_SHADOW_CUBE_SHIELD,24059,1	//Flameguard Shield (Shadow)
IG_SHADOW_CUBE_SHIELD,24060,1	//Requiem Shield (Shadow)
IG_SHADOW_CUBE_SHIELD,24061,1	//Cadi Shield (Shadow)
IG_SHADOW_CUBE_SHIELD,24083,1	//Malicious Shadow Shield
IG_SHADOW_CUBE_SHIELD,24086,1	//Gemstone Shadow Shield
IG_SHADOW_CUBE_SHIELD,24090,1	//Stability Shadow Shield
IG_SHADOW_CUBE_SHIELD,24113,1	//Spellflow Shadow Shield
IG_SHADOW_CUBE_SHIELD,24116,1	//Greed Shadow Shield
IG_SHADOW_CUBE_SHIELD,24122,1	//Heal Shadow Shield
IG_SHADOW_CUBE_SHIELD,24128,1	//Hiding Shadow Shield
IG_SHADOW_CUBE_SHIELD,24134,1	//Cloaking Shadow Shield
IG_SHADOW_CUBE_SHIELD,24140,1	//Teleport Shadow Shield
IG_SHADOW_CUBE_SHIELD,24146,1	//Steal Shadow Shield
IG_SHADOW_CUBE_SHIELD,24182,1	//Bearer's Shadow Shield
IG_SHADOW_CUBE_SHIELD,24198,1	//Basis Shadow Shield
IG_SHADOW_CUBE_SHIELD,24199,1	//Hallowed Shadow Shield
IG_SHADOW_CUBE_SHIELD,24200,1	//Saharic Shadow Shield
IG_SHADOW_CUBE_SHIELD,24201,1	//Underneath Shadow Shield
IG_SHADOW_CUBE_SHIELD,24202,1	//Flammable Shadow Shield
IG_SHADOW_CUBE_SHIELD,24203,1	//Windy Shadow Shield
IG_SHADOW_CUBE_SHIELD,24204,1	//Envenom Shadow Shield
IG_SHADOW_CUBE_SHIELD,24205,1	//Damned Shadow Shield
IG_SHADOW_CUBE_SHIELD,24206,1	//Exorcism Shadow Shield
IG_SHADOW_CUBE_SHIELD,24207,1	//Divine Shadow Shield
IG_SHADOW_CUBE_SHIELD,24209,1	//Expert Shield Shadow
IG_SHADOW_CUBE_SHIELD,24211,1	//Beginner Shadow Shield
IG_SHADOW_CUBE_SHIELD,24213,1	//Rookie Shadow Shield
IG_SHADOW_CUBE_SHIELD,24215,1	//Advanced Shadow Shield
IG_SHADOW_CUBE_SHIELD,24232,1	//Blitz Shadow Shield
IG_SHADOW_CUBE_SHIELD,24241,1	//Caster Shadow Shield
IG_SHADOW_CUBE_SHIELD,24244,1	//Reload Shadow Shield
IG_SHADOW_CUBE_SHIELD,24332,1	//Critical Shadow Shield
IG_SHADOW_CUBE_SHIELD,24366,1	//Healing Shadow Shield

IG_SHADOW_CUBE_SHOES,24025,1	//Champion Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24038,1	//Vital Shadow Shoes
IG_SHADOW_CUBE_SHOES,24045,1	//Athletic Shadow Shoes
IG_SHADOW_CUBE_SHOES,24062,1	//Bloody Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24063,1	//Liberation Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24064,1	//Chemical Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24065,1	//Clamorous Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24066,1	//Insecticide Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24067,1	//Fisher Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24068,1	//Seraphim Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24069,1	//Beholder Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24070,1	//Divine Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24071,1	//Dragoon Shoes (Shadow)
IG_SHADOW_CUBE_SHOES,24082,1	//Malicious Shadow Shoes
IG_SHADOW_CUBE_SHOES,24085,1	//Gemstone Shadow Shoes
IG_SHADOW_CUBE_SHOES,24092,1	//Plasterer's Shadow Shoes
IG_SHADOW_CUBE_SHOES,24094,1	//Insomniac Shadow Armor
IG_SHADOW_CUBE_SHOES,24096,1	//Peerless Shadow Shoes
IG_SHADOW_CUBE_SHOES,24098,1	//Adurate Shadow Shoes
IG_SHADOW_CUBE_SHOES,24111,1	//Spellflow Shadow Shoes
IG_SHADOW_CUBE_SHOES,24115,1	//Greed Shadow Shoes
IG_SHADOW_CUBE_SHOES,24121,1	//Heal Shadow Shoes
IG_SHADOW_CUBE_SHOES,24127,1	//Hiding Shadow Shoes
IG_SHADOW_CUBE_SHOES,24133,1	//Cloaking Shadow Shoes
IG_SHADOW_CUBE_SHOES,24139,1	//Teleport Shadow Shoes
IG_SHADOW_CUBE_SHOES,24145,1	//Steal Shadow Shoes
IG_SHADOW_CUBE_SHOES,24181,1	//Bearer's Shadow Shoes
IG_SHADOW_CUBE_SHOES,24196,1	//Hasty Shadow Shoes
IG_SHADOW_CUBE_SHOES,24208,1	//Expert Shadow Shoes
IG_SHADOW_CUBE_SHOES,24210,1	//Beginner Shadow Shoes
IG_SHADOW_CUBE_SHOES,24212,1	//Rookie Shadow Shoes
IG_SHADOW_CUBE_SHOES,24214,1	//Advanced Shadow Shoes
IG_SHADOW_CUBE_SHOES,24231,1	//Blitz Shadow Shoes
IG_SHADOW_CUBE_SHOES,24240,1	//Caster Shadow Shoes
IG_SHADOW_CUBE_SHOES,24243,1	//Reload Shadow Shoes
IG_SHADOW_CUBE_SHOES,24333,1	//Critical Shadow Shoes
IG_SHADOW_CUBE_SHOES,24367,1	//Healing Shadow Shoes

IG_SHADOW_CUBE_PENDANT,24020,1	//Physical Pendant (Shadow)
IG_SHADOW_CUBE_PENDANT,24023,1	//Magical Pendant (Shadow)
IG_SHADOW_CUBE_PENDANT,24036,1	//Intelligent Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24041,1	//Power Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24046,1	//Resist Spell Power Pendant (Shadow)
IG_SHADOW_CUBE_PENDANT,24047,1	//Rapid Pendant (Shadow)
IG_SHADOW_CUBE_PENDANT,24048,1	//Caster Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24080,1	//Spiritual Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24089,1	//Gemstone Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24101,1	//Unfrozen Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24103,1	//Vitality Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24106,1	//Neutral Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24108,1	//Curse Lift Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24119,1	//Greed Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24125,1	//Heal Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24131,1	//Hiding Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24137,1	//Cloaking Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24143,1	//Teleport Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24149,1	//Steal Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24151,1	//Infinity Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24155,1	//Immortal Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24167,1	//Penetration Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24169,1	//Tempest Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24185,1	//Bearer's Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24218,1	//Blitz Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24226,1	//Force Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24230,1	//Spirit Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24235,1	//Titan Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24237,1	//Boned Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24239,1	//Gigantic Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24362,1	//Tension Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24365,1	//Elegant Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24369,1	//Restore Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24372,1	//Mortal Blow Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24382,1	//Sentimental Shadow Pendant
IG_SHADOW_CUBE_PENDANT,24385,1	//Enchanting Shadow Pendant

IG_SHADOW_CUBE_EARRING,24018,1	//Physical Earring (Shadow)
IG_SHADOW_CUBE_EARRING,24021,1	//Magical Earring (Shadow)
IG_SHADOW_CUBE_EARRING,24035,1	//Power Shadow Earring
IG_SHADOW_CUBE_EARRING,24042,1	//Intelligent Shadow Earring
IG_SHADOW_CUBE_EARRING,24049,1	//Hard Earring (Shadow)
IG_SHADOW_CUBE_EARRING,24050,1	//Wise Earring (Shadow)
IG_SHADOW_CUBE_EARRING,24051,1	//Athena Earring (Shadow)
IG_SHADOW_CUBE_EARRING,24079,1	//Spiritual Shadow Earring
IG_SHADOW_CUBE_EARRING,24088,1	//Gemstone Shadow Earring
IG_SHADOW_CUBE_EARRING,24100,1	//Unfrozen Shadow Earring
IG_SHADOW_CUBE_EARRING,24102,1	//Vitality Shadow Earring
IG_SHADOW_CUBE_EARRING,24105,1	//Neutral Shadow Earring
IG_SHADOW_CUBE_EARRING,24107,1	//Curse Lift Shadow Earring
IG_SHADOW_CUBE_EARRING,24109,1	//Caster Shadow Earring
IG_SHADOW_CUBE_EARRING,24118,1	//Greed Shadow Earring
IG_SHADOW_CUBE_EARRING,24124,1	//Heal Shadow Earring
IG_SHADOW_CUBE_EARRING,24130,1	//Hiding Shadow Earring
IG_SHADOW_CUBE_EARRING,24136,1	//Cloaking Shadow Earring
IG_SHADOW_CUBE_EARRING,24142,1	//Teleport Shadow Earring
IG_SHADOW_CUBE_EARRING,24148,1	//Steal Shadow Earring
IG_SHADOW_CUBE_EARRING,24150,1	//Infinity Shadow Earring
IG_SHADOW_CUBE_EARRING,24153,1	//Solid Shadow Earring
IG_SHADOW_CUBE_EARRING,24166,1	//Penetration Shadow Earring
IG_SHADOW_CUBE_EARRING,24168,1	//Tempest Shadow Earring
IG_SHADOW_CUBE_EARRING,24184,1	//Bearer's Shadow Earring
IG_SHADOW_CUBE_EARRING,24217,1	//Blitz Shadow Earring
IG_SHADOW_CUBE_EARRING,24225,1	//Force Shadow Earring
IG_SHADOW_CUBE_EARRING,24229,1	//Spirit Shadow Earring
IG_SHADOW_CUBE_EARRING,24234,1	//Titan Shadow Earring
IG_SHADOW_CUBE_EARRING,24236,1	//Boned Shadow Earring
IG_SHADOW_CUBE_EARRING,24238,1	//Gigantic Shadow Earring
IG_SHADOW_CUBE_EARRING,24361,1	//Tension Shadow Earring
IG_SHADOW_CUBE_EARRING,24364,1	//Elegant Shadow Earring
IG_SHADOW_CUBE_EARRING,24368,1	//Restore Shadow Earring
IG_SHADOW_CUBE_EARRING,24371,1	//Mortal Blow Shadow Earring
IG_SHADOW_CUBE_EARRING,24381,1	//Sentimental Shadow Earring
IG_SHADOW_CUBE_EARRING,24384,1	//Enchanting Shadow Earring
